timestamp,day_since_first,fish_id,activity_level_px_s,dominant_zone,behavior_status,is_anomaly,life_status,data_source,note,quality_good_pct,quality_fair_pct,quality_poor_pct
2026-09-08 21:00:00+0900,0,1,96.0,MID,NORMAL,false,ALIVE,measured,,87.4,8.3,4.3
2026-09-08 21:05:00+0900,0,2,103.5,MID,NORMAL,false,ALIVE,measured,,80.5,8.0,11.5
2026-09-08 21:10:00+0900,0,1,109.2,MID,NORMAL,false,ALIVE,measured,,62.3,30.4,7.3
2026-09-08 21:15:00+0900,0,2,114.8,MID,HIGH,true,ALIVE,measured,,79.8,12.5,7.7
2026-09-08 21:20:00+0900,0,1,111.6,MID,NORMAL,false,ALIVE,measured,,74.6,18.4,7.0
2026-09-08 21:25:00+0900,0,2,121.3,TOP,HIGH,true,ALIVE,measured,,58.6,26.3,15.1
2026-09-08 21:30:00+0900,0,1,118.4,TOP,HIGH,true,ALIVE,measured,,79.2,14.0,6.8
2026-09-08 21:35:00+0900,0,2,97.8,MID,NORMAL,false,ALIVE,measured,,84.4,13.2,2.4
2026-09-08 21:40:00+0900,0,1,117.8,TOP,NORMAL,false,ALIVE,measured,,81.2,13.1,5.7
2026-09-08 21:45:00+0900,0,2,99.6,MID,NORMAL,false,ALIVE,measured,,58.1,34.0,7.9
2026-09-08 21:50:00+0900,0,1,103.4,MID,NORMAL,false,ALIVE,measured,,80.7,17.0,2.3
2026-09-08 21:55:00+0900,0,2,97.3,MID,NORMAL,false,ALIVE,measured,,58.6,36.6,4.8
2026-09-08 22:00:00+0900,0,1,110.2,MID,NORMAL,true,ALIVE,measured,,21.5,36.7,41.8
2026-09-08 22:05:00+0900,0,2,93.7,MID,NORMAL,false,ALIVE,measured,,74.6,15.7,9.7
2026-09-08 22:10:00+0900,0,1,104.9,MID,NORMAL,false,ALIVE,measured,,42.5,37.0,20.5
2026-09-08 22:15:00+0900,0,2,105.1,MID,NORMAL,false,ALIVE,measured,,88.8,7.1,4.1
2026-09-08 22:20:00+0900,0,1,100.4,MID,NORMAL,false,ALIVE,measured,,76.5,15.2,8.3
2026-09-08 22:25:00+0900,0,2,99.1,MID,NORMAL,false,ALIVE,measured,,75.5,18.5,6.0
2026-09-08 22:30:00+0900,0,1,90.0,MID,NORMAL,false,ALIVE,measured,,78.6,13.9,7.5
2026-09-08 22:35:00+0900,0,2,88.8,MID,NORMAL,false,ALIVE,measured,,84.5,10.1,5.4
2026-09-08 22:40:00+0900,0,1,92.2,MID,NORMAL,false,ALIVE,measured,,82.6,11.6,5.8
2026-09-08 22:45:00+0900,0,2,95.5,MID,NORMAL,false,ALIVE,measured,,85.0,10.9,4.1
2026-09-08 22:50:00+0900,0,1,97.5,MID,NORMAL,false,ALIVE,measured,,46.0,38.7,15.3
2026-09-08 22:55:00+0900,0,2,85.7,MID,NORMAL,false,ALIVE,measured,,84.9,9.2,5.9
2026-09-08 23:00:00+0900,0,1,90.2,MID,NORMAL,false,ALIVE,measured,,82.9,12.6,4.5
2026-09-08 23:05:00+0900,0,2,97.1,MID,NORMAL,false,ALIVE,measured,,46.9,40.5,12.6
2026-09-08 23:10:00+0900,0,1,85.0,BOT,NORMAL,false,ALIVE,measured,,59.5,34.3,6.2
2026-09-08 23:15:00+0900,0,2,90.0,MID,NORMAL,false,ALIVE,measured,,89.2,7.6,3.2
2026-09-08 23:20:00+0900,0,1,103.6,MID,NORMAL,false,ALIVE,measured,,76.7,14.1,9.2
2026-09-08 23:25:00+0900,0,2,91.7,MID,NORMAL,false,ALIVE,measured,,82.3,10.6,7.1
2026-09-08 23:30:00+0900,0,1,82.2,BOT,NORMAL,false,ALIVE,measured,,49.1,38.8,12.1
2026-09-08 23:35:00+0900,0,2,87.0,MID,NORMAL,false,ALIVE,measured,,45.8,25.4,28.8
2026-09-08 23:40:00+0900,0,1,73.4,BOT,LOW,true,ALIVE,measured,,87.0,9.4,3.6
2026-09-08 23:45:00+0900,0,2,89.4,MID,NORMAL,false,ALIVE,measured,,56.3,41.3,2.4
2026-09-08 23:50:00+0900,0,1,87.1,MID,NORMAL,false,ALIVE,measured,,54.3,33.2,12.5
2026-09-08 23:55:00+0900,0,2,95.3,MID,NORMAL,false,ALIVE,measured,,82.4,8.3,9.3
2026-09-09 00:00:00+0900,0,1,75.5,BOT,LOW,true,ALIVE,measured,,88.1,9.3,2.6
2026-09-09 00:05:00+0900,0,2,85.0,BOT,NORMAL,false,ALIVE,measured,,85.7,12.1,2.2
2026-09-09 00:10:00+0900,0,1,83.5,BOT,NORMAL,false,ALIVE,measured,,77.0,14.1,8.9
2026-09-09 00:15:00+0900,0,2,74.6,BOT,LOW,true,ALIVE,measured,,81.6,15.3,3.1
2026-09-09 00:20:00+0900,0,1,66.0,BOT,LOW,true,ALIVE,measured,,87.4,10.2,2.4
2026-09-09 00:25:00+0900,0,2,69.8,BOT,LOW,true,ALIVE,measured,,78.3,7.3,14.4
2026-09-09 00:30:00+0900,0,1,69.2,BOT,LOW,true,ALIVE,measured,,86.4,10.8,2.8
2026-09-09 00:35:00+0900,0,2,84.7,BOT,NORMAL,false,ALIVE,measured,,73.1,10.0,16.9
2026-09-09 00:40:00+0900,0,1,75.2,BOT,LOW,true,ALIVE,measured,,57.1,33.4,9.5
2026-09-09 00:45:00+0900,0,2,74.7,BOT,LOW,true,ALIVE,measured,,19.6,21.2,59.2
2026-09-09 00:50:00+0900,0,1,81.1,BOT,NORMAL,false,ALIVE,measured,,74.5,19.8,5.7
2026-09-09 00:55:00+0900,0,2,82.0,BOT,NORMAL,false,ALIVE,measured,,72.1,12.0,15.9
2026-09-09 01:00:00+0900,0,1,67.8,BOT,LOW,true,ALIVE,measured,,48.9,38.5,12.6
2026-09-09 01:05:00+0900,0,2,65.7,BOT,LOW,true,ALIVE,measured,,77.6,7.5,14.9
2026-09-09 01:10:00+0900,0,1,74.6,BOT,LOW,true,ALIVE,measured,,75.3,17.5,7.2
2026-09-09 01:15:00+0900,0,2,68.3,BOT,LOW,true,ALIVE,measured,,74.2,21.8,4.0
2026-09-09 01:20:00+0900,0,1,75.5,BOT,LOW,true,ALIVE,measured,,80.9,13.8,5.3
2026-09-09 01:25:00+0900,0,2,63.9,BOT,LOW,true,ALIVE,measured,,47.8,38.9,13.3
2026-09-09 01:30:00+0900,0,1,74.2,BOT,LOW,true,ALIVE,measured,,24.0,31.1,44.9
2026-09-09 01:35:00+0900,0,2,69.6,BOT,LOW,true,ALIVE,measured,,88.6,7.9,3.5
2026-09-09 01:40:00+0900,0,1,68.1,BOT,LOW,true,ALIVE,measured,,74.0,15.0,11.0
2026-09-09 01:45:00+0900,0,2,77.0,BOT,LOW,true,ALIVE,measured,,87.3,8.2,4.5
2026-09-09 01:50:00+0900,0,1,70.5,BOT,LOW,true,ALIVE,measured,,81.4,8.0,10.6
2026-09-09 01:55:00+0900,0,2,65.2,BOT,LOW,true,ALIVE,measured,,38.2,25.7,36.1
2026-09-09 02:00:00+0900,0,1,74.5,BOT,LOW,true,ALIVE,measured,,90.6,7.1,2.3
2026-09-09 02:05:00+0900,0,2,57.6,BOT,LOW,true,ALIVE,measured,,73.1,13.6,13.3
2026-09-09 02:10:00+0900,0,1,72.4,BOT,LOW,true,ALIVE,measured,,56.3,31.5,12.2
2026-09-09 02:15:00+0900,0,2,72.5,BOT,LOW,true,ALIVE,measured,,84.0,13.5,2.5
2026-09-09 02:20:00+0900,0,1,62.9,BOT,LOW,true,ALIVE,measured,,72.9,8.2,18.9
2026-09-09 02:25:00+0900,0,2,65.4,BOT,LOW,true,ALIVE,measured,,74.4,14.6,11.0
2026-09-09 02:30:00+0900,0,1,55.0,BOT,LOW,true,ALIVE,measured,,48.5,27.6,23.9
2026-09-09 02:35:00+0900,0,2,70.7,BOT,LOW,true,ALIVE,measured,,90.9,7.1,2.0
2026-09-09 02:40:00+0900,0,1,71.8,BOT,LOW,true,ALIVE,measured,,72.2,19.7,8.1
2026-09-09 02:45:00+0900,0,2,63.8,BOT,LOW,true,ALIVE,measured,,89.8,8.2,2.0
2026-09-09 02:50:00+0900,0,1,58.4,BOT,LOW,true,ALIVE,measured,,56.8,28.0,15.2
2026-09-09 02:55:00+0900,0,2,67.2,BOT,LOW,true,ALIVE,measured,,82.7,7.9,9.4
2026-09-09 03:00:00+0900,0,1,62.8,BOT,LOW,true,ALIVE,measured,,86.1,10.4,3.5
2026-09-09 03:05:00+0900,0,2,74.1,BOT,LOW,true,ALIVE,measured,,89.8,7.1,3.1
2026-09-09 03:10:00+0900,0,1,66.9,BOT,LOW,true,ALIVE,measured,,55.8,39.6,4.6
2026-09-09 03:15:00+0900,0,2,65.9,BOT,LOW,true,ALIVE,measured,,77.6,18.6,3.8
2026-09-09 03:20:00+0900,0,1,70.3,BOT,LOW,true,ALIVE,measured,,79.2,18.3,2.5
2026-09-09 03:25:00+0900,0,2,58.6,BOT,LOW,true,ALIVE,measured,,88.5,7.7,3.8
2026-09-09 03:30:00+0900,0,1,70.3,BOT,LOW,true,ALIVE,measured,,50.5,38.0,11.5
2026-09-09 03:35:00+0900,0,2,66.2,BOT,LOW,true,ALIVE,measured,,76.2,18.0,5.8
2026-09-09 03:40:00+0900,0,1,64.3,BOT,LOW,true,ALIVE,measured,,75.9,18.2,5.9
